Molecular Weight (g/mol),pKa,Log P,Log S,Polar Surface Area (Å2),Polarizability (Å3),HOMO (eV),LUMO (eV),Ionization Energy (eV),Electron Affinity (eV),Electronegativity (eV),Hardness  (eV),Electrophilicity (eV)  , ΔN_Fe ,IE (%)
194.19,14.0,-0.07,-0.97,58.44,18.96,-5.769,-1.977,5.769,1.977,3.873,1.896,0.96825,0.8246308016877637,92.0
151.16,9.9,0.91,-1.6,49.33,15.52,-5.494,-1.646,5.494,1.646,3.57,1.924,0.8925,0.8913721413721415,85.8
222.3,8.8,-0.26,-2.36,115.04,19.16,-7.01,-3.358,7.01,3.358,5.184,1.8259999999999998,1.296,0.4972617743702081,93.0
60.05,4.8,-0.17,1.22,37.3,5.34,-6.816,-1.07,6.816,1.07,3.943,2.8729999999999998,0.98575,0.5320222763661678,92.0
137.14,3.38,0.83,-0.4,63.32,13.44,-5.922,-2.122,5.922,2.122,4.022,1.9,1.0055,0.7836842105263158,80.0
420.43,5.0,-3.03,-0.9,69.3,16.86,-5.869,-2.115,5.869,2.115,3.992,1.8769999999999998,0.998,0.8012786361214705,87.0
277.4,9.4,4.92,-4.39,3.24,33.74,-5.211,-1.887,5.211,1.887,3.5490000000000004,1.6620000000000001,0.8872500000000001,1.0382069795427193,94.0
365.4,2.4,0.87,-2.6,132.96,35.52,-5.999,-1.885,5.999,1.885,3.9419999999999997,2.057,0.9854999999999999,0.7433155080213905,94.47
349.4,2.7,1.35,-2.8,112.73,34.54,-6.158,-1.973,6.158,1.973,4.0655,2.0925000000000002,1.016375,0.7011947431302269,92.8
188.33,2.2,0.38,-0.6,23.55,20.4,-5.313,-1.894,5.313,1.894,3.6035,1.7094999999999998,0.900875,0.9934191284001171,95.7
155.19,7.6,0.35,0.81,29.54,17.1,-5.358,-2.302,5.358,2.302,3.83,1.5279999999999998,0.9575,1.037303664921466,96.97
176.12,4.7,-1.85,0.14,107.22,14.93,-5.9,-2.042,5.9,2.042,3.971,1.9290000000000003,0.99275,0.7851218247796785,82.9
